movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score
Abandon,36,2002-10-18,14160541.56,2002-10-18,99.0,PG-13,Thriller,Paramount,,"Gary Barber,Roger Birnbaum,Lynda Obst,Richard Vane, ,(executive),Edward Zwick",33000000.0,2347.0,"Katie Holmes,Benjamin Bratt,Zooey Deschanel",,,Clint Mansell,10,2002,1.32,6033.46466127,64068403.94
Abduction,25,2011-09-23,29772384.3,2011-09-23,106.0,PG-13,Action,Lionsgate,John Singleton,"Patrick Crowley,Doug Davison,Roy Lee",37100000.0,3118.0,"Taylor Lautner,Lily Collins,Alfred Molina,Jason Isaacs,Maria Bello,Michael Nyqvist,Sigourney Weaver,Elisabeth Rohm*",,,Ed Shearmur,9,2011,1.06,9548.55173188,259087068.397
About a Boy,75,2002-05-17,54628566.96,2002-05-17,100.0,PG-13,Comedy / Drama,Universal,,"Tim Bevan,Eric Fellner,Nick Hornby",39600000.0,1756.0,"Hugh Grant,Nicholas Hoult,Toni Collette,Rachel Weisz","Peter Hedges,Nick Hornby,Chris Weitz,Paul Weitz",,,5,2002,1.32,31109.6622779,187262038.487
About Schmidt,85,2002-12-13,85821498.84,2002-12-13,124.0,R,Comedy / Drama,New Line,Alexander Payne,Bill Badalato,39600000.0,1240.0,"Jack Nicholson,Kathy Bates",Alexander Payne,,Rolfe Kent,12,2002,1.32,69210.8861613,169698131.2
Abraham Lincoln: Vampire Hunter,42,2012-06-22,39019904.56,2012-06-22,105.0,R,Horror Thriller,Fox,Timur Bekmambetov,"Timur Bekmambetov,Tim Burton,Seth Grahame-Smith, ,(executive),Simon Kinberg, ,(executive)",71760000.0,3109.0,"Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,Marton Csokas","Seth Grahame-Smith,Simon Kinberg",,Henry Jackman,6,2012,1.04,12550.628678,90659875.6225
Accepted,47,2006-08-18,42861735.9,2006-08-18,90.0,PG-13,Comedy,Universal,Steve Pink,"Michael Bostick,Tom Shadyac",27140000.0,2917.0,"Justin Long,Blake Lively,Jonah Hill,Kellan Lutz","Bill Collage,Adam Cooper",,,8,2006,1.18,14693.7730202,83798809.3571
Adaptation.,83,2002-12-06,29698046.4,2002-12-06,114.0,R,Comedy,Sony / Columbia,Spike Jonze,,25080000.0,672.0,"Nicolas Cage,Meryl Streep,Chris Cooper,Brian Cox,Tilda Swinton,Maggie Gyllenhaal,Ron Livingston*",Charlie Kaufman,,Carter Burwell,12,2002,1.32,44193.5214286,112650630.095
Admission,48,2013-03-22,18367463.34,2013-03-22,117.0,PG-13,Comedy / Drama,Focus Features,Paul Weitz,Paul Weitz,13260000.0,2161.0,"Tina Fey,Paul Rudd,Michael Sheen,Wallace Shawn,Lily Tomlin",Karen Croner,,Stephen Trask,3,2013,1.02,8499.5202869,452355319.2
Affliction,79,1998-12-30,6330054.0,1998-12-30,115.0,R,Drama,Lions Gate,Paul Schrader,,6000000.0,335.0,Willem Dafoe,,,Michael Brook,12,1998,1.0,18895.6835821,59559280.1429
After Earth,33,2013-05-31,61732538.94,2013-05-31,100.0,PG-13,Sci-Fi,Sony / Columbia,M. Night Shyamalan,"Jada Pinkett-Smith,M. Night Shyamalan,Will Smith",132600000.0,3401.0,"Jaden Smith,Will Smith","M. Night Shyamalan,Gary Whitta",,James Newton Howard,5,2013,1.02,18151.2904852,179800265.665
After the Sunset,38,2004-11-12,35697353.58,2004-11-12,98.0,PG-13,Romantic Thriller,New Line,Brett Ratner,"Beau Flynn,Jay Stern,Tripp Vinson",75600000.0,2819.0,"Pierce Brosnan,Salma Hayek,Woody Harrelson,Don Cheadle,Naomie Harris",Craig Rosenberg,Dante Spinotti,,11,2004,1.26,12663.1264917,100602121.67
Agent Cody Banks,41,2003-03-14,61840445.7,2003-03-14,110.0,PG,Family Adventure,MGM,Harald Zwart,"Dylan Sellers,Bob Yari, ,(executive)",36120000.0,3369.0,"Frankie Muniz,Hilary Duff,Martin Donovan","Scott Alexander,Larry Karaszewski,Ashley Miller,Zack Stentz",,John Powell,3,2003,1.29,18355.7274265,55470863.31
Agent Cody Banks 2: Destination London,32,2004-03-12,29774000.34,2004-03-12,101.0,PG,Family Adventure,MGM,,"Dylan Sellers,Bob Yari",32760000.0,2973.0,Frankie Muniz,Don Rhymer,,,3,2004,1.26,10014.7999798,57594057.44
Air Force One,61,1997-07-25,172956409.0,1997-07-25,124.0,R,Action Thriller,Sony / Columbia,Wolfgang Petersen,"Marc Abraham, ,(executive)",85000000.0,2981.0,"Glenn Close,Harrison Ford,William H. Macy,Gary Oldman",,Michael Ballhaus,Jerry Goldsmith,7,1997,1.0,58019.5937605,166058933.3
Akeelah and the Bee,72,2006-04-28,22241147.4,2006-04-28,112.0,PG,Drama,Lionsgate,,,9440000.0,2195.0,"Laurence Fishburne,Angela Bassett,Keke Palmer",,,,4,2006,1.18,10132.6411845,144981760.097
Albino Alligator,48,1997-01-17,339379.0,1997-01-17,94.0,R,Unknown,Miramax,,,6000000.0,12.0,"Matt Dillon,Viggo Mortensen",,,Michael Brook,1,1997,1.0,28281.5833333,3611916.0
