movie_title,domestic_total_gross,release_date,runtime_(mins),rating,genre,distributor,director,producer,production_budget,widest_release_theaters,actors,writers,cinematographers,composers
Blood Diamond,57377916,2006-12-08 00:00:00,138,R,Adventure,Warner Bros.,Edward Zwick,Graham King,$100 million,"1,920","Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Michael Sheen*",Charles Leavitt,,James Newton Howard
Blood Done Sign My Name,109383,2010-02-19 00:00:00,128,PG-13,Drama,Paladin,,,$10 million,95,,,,
The Blood of Heroes,882290,1990-02-23 00:00:00,90,R,Sci-Fi Action,New Line,,Charles Roven,N/A,318,Rutger Hauer,,David Eggby,
Blood of His Own,6792,1998-07-31 00:00:00,,Unrated,Unknown,Tozart,,,N/A,,,,,
The Blood of My Brother,,2006-06-30 00:00:00,84,Unrated,Documentary,Lifesize,,,N/A,,,,,
Blood Red,15510,1989-08-18 00:00:00,99,R,Unknown,Hemdale,,,N/A,,Julia Roberts*,,Toyomichi Kurita,
Blood Simple,2150000,1985-01-18 00:00:00,95,R,Crime Thriller,Circle,Joel Coen,Ethan Coen,N/A,,Frances McDormand,"Ethan Coen,Joel Coen",Barry Sonnenfeld,Carter Burwell
Blood Simple (re-issue),1701855,2000-07-07 00:00:00,95,R,Crime Thriller,USA Films,,,N/A,68,,,,
Blood Ties,,2011-02-11 00:00:00,93,Unrated,Action,AfterLight,,,"$20,000",1,,,,
Blood Ties (2014),42472,2014-03-21 00:00:00,144,R,Crime Drama,Roadside Attractions,Guillaume Canet,,N/A,28,"Clive Owen,Billy Crudup,Mila Kunis,Marion Cotillard,Zoe Saldana,James Caan,Lili Taylor,Matthias Schoenaerts","Guillaume Canet,James Gray",,
Blood Work,26235081,2002-08-09 00:00:00,110,R,Thriller,Warner Bros.,Clint Eastwood,"Clint Eastwood,Robert Lorenz, ,(executive)",$50 million,"2,525",Clint Eastwood,Brian Helgeland,,
"Blood, Friends and Money",3930,2000-09-15 00:00:00,,R,Unknown,Venice Film Merchants,,,N/A,,,,,
