movie_title,movie_score,release_date_x,total_gross,release_date_y,runtime,rating,genre,distributor,director,producer,budget,theaters,actors,writers,cinematographers,composers,month,year,inflation,gross_per_theater,actors_score,producer_score
After the Sunset,38,2004-11-12,35697353.58,2004-11-12,98.0,PG-13,Romantic Thriller,New Line,Brett Ratner,"Beau Flynn,Jay Stern,Tripp Vinson",75600000.0,2819.0,"Pierce Brosnan,Salma Hayek,Woody Harrelson,Don Cheadle,Naomie Harris",Craig Rosenberg,Dante Spinotti,,11,2004,1.26,12663.1264917,100602121.67,125956624.875
Agent Cody Banks,41,2003-03-14,61840445.7,2003-03-14,110.0,PG,Family Adventure,MGM,Harald Zwart,"Dylan Sellers,Bob Yari, ,(executive)",36120000.0,3369.0,"Frankie Muniz,Hilary Duff,Martin Donovan","Scott Alexander,Larry Karaszewski,Ashley Miller,Zack Stentz",,John Powell,3,2003,1.29,18355.7274265,55470863.31,44525941.83
Agent Cody Banks 2: Destination London,32,2004-03-12,29774000.34,2004-03-12,101.0,PG,Family Adventure,MGM,,"Dylan Sellers,Bob Yari",32760000.0,2973.0,Frankie Muniz,Don Rhymer,,,3,2004,1.26,10014.7999798,57594057.44,61840445.7
Alex Cross,30,2012-10-19,26923948.48,2012-10-19,101.0,PG-13,Crime Thriller,Lionsgate/Summit,Rob Cohen,"Randall Emmett,George Furla, ,(executive)",36400000.0,2541.0,"Tyler Perry,Matthew Fox,Jean Reno,Edward Burns,Rachel Nichols,John C. McGinley,Cicely Tyson","Marc Moss,Kerry Williamson",,John Debney,10,2012,1.04,10595.8081385,94648192.52,35044792.9988
Alexander,39,2004-11-24,43214460.66,2004-11-24,176.0,R,Historical Epic,Warner Bros.,Oliver Stone,"Jon Kilik,Gianni Nunnari, ,(co-executive)",195300000.0,2445.0,"Colin Farrell,Angelina Jolie,Val Kilmer,Jared Leto,Rosario Dawson,Anthony Hopkins,Jonathan Rhys Meyers",Laeta Kalogridis,,,11,2004,1.26,17674.6260368,80475725.5793,68975972.03
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",54,2014-10-10,67623690.49,2014-10-10,81.0,PG,Family,Buena Vista,Miguel Arteta,Shawn Levy,28280000.0,3117.0,"Steve Carell,Jennifer Garner,Bella Thorne,Dylan Minnette,Megan Mullally,Jennifer Coolidge",Rob Lieber,,Christophe Beck,10,2014,1.01,21695.1204652,142721841.072,38990874.16
Ali,65,2001-12-25,77992160.7,2001-12-25,156.0,R,Sports Drama,Sony / Columbia,Michael Mann,"Graham King, ,(executive),James Lassiter,Michael Mann,Jon Peters",143380000.0,2521.0,"Will Smith,Jamie Foxx,Jon Voight,Jada Pinkett-Smith,Jeffrey Wright","Michael Mann,Eric Roth",,,12,2001,1.34,30936.9935343,156604302.112,153055588.566
Alien 3,59,1992-05-22,55473545.0,1992-05-22,114.0,R,Sci-Fi Horror,Fox,David Fincher,"Gordon Carroll,David Giler,Walter Hill",50000000.0,2227.0,"Sigourney Weaver,Lance Henriksen",,,Elliot Goldenthal,5,1992,1.0,24909.5397396,154093940.0,78944891.0
All About the Benjamins,34,2002-03-08,34209541.08,2002-03-08,95.0,R,Action Comedy,New Line,,"Matt Alvarez,Ice Cube",19800000.0,1519.0,"Ice Cube,Eva Mendes,Bow Wow*",Ice Cube,,,3,2002,1.32,22521.0935352,52497686.844,53290518.07
All the King's Men,37,2006-09-22,8521320.44,2006-09-22,141.0,PG-13,Drama,Sony / Columbia,Steven Zaillian,"Scott Budnick, ,(associate),Ryan Kavanaugh, ,(executive),Todd Phillips, ,(executive)",64900000.0,1520.0,"Sean Penn,Jude Law,Kate Winslet,James Gandolfini,Mark Ruffalo,Patricia Clarkson,Anthony Hopkins,Jackie Earle Haley",Steven Zaillian,,James Horner,9,2006,1.18,5606.13186842,106365234.433,111179570.04
